date,price
7/1/2010,0.09
8/1/2010,0.06
9/1/2010,0.06
10/1/2010,0.06
11/1/2010,0.20
12/1/2010,0.23
1/1/2011,0.30
2/1/2011,0.70
3/1/2011,0.92
4/1/2011,0.77
5/1/2011,3.03
6/1/2011,9.57
7/1/2011,15.40
8/1/2011,13.09
9/1/2011,8.21
10/1/2011,5.03
11/1/2011,3.15
12/1/2011,3.06
1/1/2012,5.27
2/1/2012,6.08
3/1/2012,4.92
4/1/2012,4.83
5/1/2012,0.17
6/1/2012,5.27
7/1/2012,6.63
8/1/2012,9.55
9/1/2012,9.97
10/1/2012,12.40
11/1/2012,10.57
12/1/2012,12.56
1/1/2013,13.30
2/1/2013,20.50
3/1/2013,34.50
4/1/2013,104
4/28/2013,135.3
4/29/2013,134.44
4/30/2013,144
5/1/2013,139
5/2/2013,116.38
5/3/2013,106.25
5/4/2013,98.1
5/5/2013,112.9
5/6/2013,115.98
5/7/2013,112.25
5/8/2013,109.6
5/9/2013,113.2
5/10/2013,112.8
5/11/2013,117.7
5/12/2013,115.64
5/13/2013,114.82
5/14/2013,117.98
5/15/2013,111.4
5/16/2013,114.22
5/17/2013,118.21
5/18/2013,123.5
5/19/2013,123.21
5/20/2013,122.5
5/21/2013,122.02
5/22/2013,122.89
5/23/2013,123.8
5/24/2013,126.3
5/25/2013,133.1
5/26/2013,131.99
5/27/2013,133.5
5/28/2013,129.77
5/29/2013,129
5/30/2013,132.25
5/31/2013,128.8
6/1/2013,128.81
6/2/2013,129.3
6/3/2013,122.5
6/4/2013,120.74
6/5/2013,121.4
6/6/2013,121.9
6/7/2013,118.97
6/8/2013,111
6/9/2013,107.89
6/10/2013,100.44
6/11/2013,106.35
6/12/2013,109
6/13/2013,108.78
6/14/2013,103.95
6/15/2013,100
6/16/2013,99.8
6/17/2013,99.9
6/18/2013,101.95
6/19/2013,107.05
6/20/2013,108.25
6/21/2013,111.29
6/22/2013,109.5
6/23/2013,108.2
6/24/2013,107.9
6/25/2013,102.09
6/26/2013,103.33
6/27/2013,104
6/28/2013,101.74
6/29/2013,94.66
6/30/2013,95
7/1/2013,97.51
7/2/2013,88.05
7/3/2013,90.41
7/4/2013,78.89
7/5/2013,79.99
7/6/2013,68.5
7/7/2013,68.75
7/8/2013,76.5
7/9/2013,76
7/10/2013,76.72
7/11/2013,88
7/12/2013,88.98
7/13/2013,93.99
7/14/2013,98.7
7/15/2013,93.61
7/16/2013,98.89
7/17/2013,96.71
7/18/2013,98.5
7/19/2013,90.07
7/20/2013,92
7/21/2013,89.82
7/22/2013,92
7/23/2013,91.6
7/24/2013,95.56
7/25/2013,94.5
7/26/2013,96.95
7/27/2013,96.02
7/28/2013,94.4
7/29/2013,98.6
7/30/2013,101.49
7/31/2013,107.95
8/1/2013,106.21
8/2/2013,104.86
8/3/2013,104.5
8/4/2013,104.95
8/5/2013,105.12
8/6/2013,106.72
8/7/2013,106.75
8/8/2013,106.75
8/9/2013,103.07
8/10/2013,102.8
8/11/2013,103
8/12/2013,105
8/13/2013,106.99
8/14/2013,109.56
8/15/2013,112.56
8/16/2013,110
8/17/2013,108.99
8/18/2013,112.75
8/19/2013,113.38
8/20/2013,119
8/21/2013,121.21
8/22/2013,123.3
8/23/2013,122
8/24/2013,118.51
8/25/2013,119.6
8/26/2013,122.11
8/27/2013,120.07
8/28/2013,126.48
8/29/2013,122.62
8/30/2013,122.35
8/31/2013,133.09
9/1/2013,135.14
9/2/2013,138.63
9/3/2013,135.61
9/4/2013,136.53
9/5/2013,126.76
9/6/2013,126.49
9/7/2013,118.89
9/8/2013,124.13
9/9/2013,121.86
9/10/2013,127.27
9/11/2013,125.89
9/12/2013,135.55
9/13/2013,132.83
9/14/2013,135.01
9/15/2013,129.4
9/16/2013,130.86
9/17/2013,131.59
9/18/2013,131.71
9/19/2013,131.37
9/20/2013,129.7
9/21/2013,126.95
9/22/2013,127.87
9/23/2013,128.98
9/24/2013,126.05
9/25/2013,127.38
9/26/2013,128.21
9/27/2013,128.94
9/28/2013,133.77
9/29/2013,134.9
9/30/2013,137.15
10/1/2013,132.68
10/2/2013,132.05
10/3/2013,114.45
10/4/2013,123.41
10/5/2013,128.63
10/6/2013,128.36
10/7/2013,129.43
10/8/2013,126.74
10/9/2013,125.85
10/10/2013,130.67
10/11/2013,130.75
10/12/2013,130.9
10/13/2013,135.19
10/14/2013,139.27
10/15/2013,140.77
10/16/2013,145.65
10/17/2013,142.41
10/18/2013,146.37
10/19/2013,155.91
10/20/2013,171.66
10/21/2013,174.8
10/22/2013,182.65
10/23/2013,193.36
10/24/2013,214.3
10/25/2013,197.69
10/26/2013,187.45
10/27/2013,176.6
10/28/2013,196.21
10/29/2013,198.55
10/30/2013,204.39
10/31/2013,199.83
11/1/2013,203.9
11/2/2013,205.81
11/3/2013,205.99
11/4/2013,214.66
11/5/2013,229.21
11/6/2013,244.78
11/7/2013,261.68
11/8/2013,297.85
11/9/2013,338.58
11/10/2013,348.82
11/11/2013,325.41
11/12/2013,343.06
11/13/2013,360.97
11/14/2013,406.41
11/15/2013,419.41
11/16/2013,417.28
11/17/2013,440.96
11/18/2013,496.58
11/19/2013,712.76
11/20/2013,577.98
11/21/2013,594.32
11/22/2013,724.07
11/23/2013,771.7
11/24/2013,795.63
11/25/2013,773.02
11/26/2013,805.73
11/27/2013,923.85
11/28/2013,1003.38
11/29/2013,1042.01
11/30/2013,1129.37
12/1/2013,1128.92
12/2/2013,951.42
12/3/2013,1046.4
12/4/2013,1077.58
12/5/2013,1152.73
12/6/2013,1042.38
12/7/2013,835.32
12/8/2013,697.31
12/9/2013,793.8
12/10/2013,892.32
12/11/2013,989.07
12/12/2013,882.78
12/13/2013,874.98
12/14/2013,899.85
12/15/2013,875.29
12/16/2013,880.33
12/17/2013,706.37
12/18/2013,678.2
12/19/2013,519.06
12/20/2013,694.22
12/21/2013,619.9
12/22/2013,601.78
12/23/2013,613.06
12/24/2013,672.36
12/25/2013,666.31
12/26/2013,683.94
12/27/2013,763.28
12/28/2013,737.98
12/29/2013,728.05
12/30/2013,741.35
12/31/2013,760.32
1/1/2014,754.97
1/2/2014,773.44
1/3/2014,802.85
1/4/2014,823.27
1/5/2014,858.55
1/6/2014,936.05
1/7/2014,946.49
1/8/2014,795.99
1/9/2014,841.47
1/10/2014,846.69
1/11/2014,867.32
1/12/2014,919.6
1/13/2014,860.19
1/14/2014,843.17
1/15/2014,833.12
1/16/2014,860.29
1/17/2014,834.49
1/18/2014,816.07
1/19/2014,839.66
1/20/2014,871.39
1/21/2014,869.65
1/22/2014,867.21
1/23/2014,845.46
1/24/2014,822.43
1/25/2014,796.24
1/26/2014,853.68
1/27/2014,884.6
1/28/2014,774.02
1/29/2014,809.96
1/30/2014,826.02
1/31/2014,818.43
2/1/2014,828.61
2/2/2014,832.9
2/3/2014,824.08
2/4/2014,823.77
2/5/2014,829.96
2/6/2014,815.59
2/7/2014,783.2
2/8/2014,699.57
2/9/2014,671.46
2/10/2014,681.32
2/11/2014,683.5
2/12/2014,672.38
2/13/2014,651.08
2/14/2014,601.17
2/15/2014,660.9
2/16/2014,651.3
2/17/2014,614.23
2/18/2014,627.16
2/19/2014,625.97
2/20/2014,623.09
2/21/2014,556.88
2/22/2014,574.24
2/23/2014,606.47
2/24/2014,606.04
2/25/2014,540.24
2/26/2014,537.04
2/27/2014,581.65
2/28/2014,579.7
3/1/2014,549.92
3/2/2014,567.23
3/3/2014,562.56
3/4/2014,668.24
3/5/2014,666.24
3/6/2014,664.52
3/7/2014,664.31
3/8/2014,629.66
3/9/2014,616.31
3/10/2014,636.33
3/11/2014,627.95
3/12/2014,631.91
3/13/2014,633.62
3/14/2014,638.14
3/15/2014,629.37
3/16/2014,636.5
3/17/2014,630.92
3/18/2014,621.84
3/19/2014,613.9
3/20/2014,609.75
3/21/2014,588.29
3/22/2014,571.18
3/23/2014,565.76
3/24/2014,562.51
3/25/2014,585.03
3/26/2014,583.48
3/27/2014,580.26
3/28/2014,477.14
3/29/2014,501.71
3/30/2014,492.37
3/31/2014,462.3
4/1/2014,457
4/2/2014,479.14
4/3/2014,436.44
4/4/2014,445.66
4/5/2014,446.68
4/6/2014,463.4
4/7/2014,461.47
4/8/2014,447.61
4/9/2014,453.18
4/10/2014,442.26
4/11/2014,363.71
4/12/2014,420.89
4/13/2014,421.46
4/14/2014,414.83
4/15/2014,458.37
4/16/2014,522.18
4/17/2014,529.07
4/18/2014,495.8
4/19/2014,479.58
4/20/2014,501.75
4/21/2014,497.74
4/22/2014,495.45
4/23/2014,488.36
4/24/2014,490.82
4/25/2014,500.09
4/26/2014,461.7
4/27/2014,457.24
4/28/2014,430.72
4/29/2014,439.98
4/30/2014,446.89
5/1/2014,447.63
5/2/2014,457.36
5/3/2014,449.4
5/4/2014,438.52
5/5/2014,434.78
5/6/2014,433.36
5/7/2014,429.34
5/8/2014,438.68
5/9/2014,440.18
5/10/2014,450.46
5/11/2014,453.92
5/12/2014,438.3
5/13/2014,441.53
5/14/2014,440.59
5/15/2014,444.14
5/16/2014,447.39
5/17/2014,448.12
5/18/2014,448.7
5/19/2014,446.08
5/20/2014,446.31
5/21/2014,485.8
5/22/2014,492.05
5/23/2014,525.72
5/24/2014,521.05
5/25/2014,525.23
5/26/2014,571.39
5/27/2014,582.59
5/28/2014,571.91
5/29/2014,576.33
5/30/2014,568.18
5/31/2014,615.69
6/1/2014,623.69
6/2/2014,629.64
6/3/2014,660.55
6/4/2014,666.77
6/5/2014,641.07
6/6/2014,659.28
6/7/2014,653.52
6/8/2014,654.99
6/9/2014,655.64
6/10/2014,650.04
6/11/2014,653.19
6/12/2014,633.43
6/13/2014,585.7
6/14/2014,600.75
6/15/2014,575.93
6/16/2014,592.65
6/17/2014,591.59
6/18/2014,609.77
6/19/2014,608.07
6/20/2014,597.4
6/21/2014,593.68
6/22/2014,595.9
6/23/2014,602.16
6/24/2014,593.97
6/25/2014,581.81
6/26/2014,566.14
6/27/2014,581.3
6/28/2014,599.08
6/29/2014,596.33
6/30/2014,602.62
7/1/2014,641.39
7/2/2014,641.04
7/3/2014,650.77
7/4/2014,644.65
7/5/2014,629.95
7/6/2014,631.77
7/7/2014,635.46
7/8/2014,622.57
7/9/2014,625.22
7/10/2014,624.83
7/11/2014,616.66
7/12/2014,631.88
7/13/2014,634.22
7/14/2014,626.56
7/15/2014,620
7/16/2014,622.01
7/17/2014,616.54
7/18/2014,622.37
7/19/2014,629.17
7/20/2014,628.56
7/21/2014,623.95
7/22/2014,622.27
7/23/2014,621.12
7/24/2014,619.5
7/25/2014,601.51
7/26/2014,601.54
7/27/2014,595.67
7/28/2014,594.14
7/29/2014,585.55
7/30/2014,584.74
7/31/2014,567.37
8/1/2014,586.2
8/2/2014,594.9
8/3/2014,588.89
8/4/2014,586.23
8/5/2014,589.01
8/6/2014,585.95
8/7/2014,584.65
8/8/2014,588.88
8/9/2014,592.47
8/10/2014,589.17
8/11/2014,591.28
8/12/2014,576.51
8/13/2014,570.38
8/14/2014,546.18
8/15/2014,511.14
8/16/2014,497.83
8/17/2014,519.14
8/18/2014,491.51
8/19/2014,461.48
8/20/2014,485.07
8/21/2014,510.45
8/22/2014,517.58
8/23/2014,513.39
8/24/2014,498.29
8/25/2014,508.22
8/26/2014,502.54
8/27/2014,512.19
8/28/2014,510.88
8/29/2014,508.43
8/30/2014,508.59
8/31/2014,502.9
9/1/2014,477.79
9/2/2014,474.48
9/3/2014,476.87
9/4/2014,477.68
9/5/2014,489.67
9/6/2014,483.34
9/7/2014,485.13
9/8/2014,481.81
9/9/2014,474.88
9/10/2014,475.48
9/11/2014,479.62
9/12/2014,479.58
9/13/2014,477.79
9/14/2014,479.12
9/15/2014,477.76
9/16/2014,474.86
9/17/2014,465.86
9/18/2014,456.86
9/19/2014,424.1
9/20/2014,394.67
9/21/2014,408.08
9/22/2014,399.1
9/23/2014,402.09
9/24/2014,435.75
9/25/2014,423.16
9/26/2014,411.43
9/27/2014,403.56
9/28/2014,399.47
9/29/2014,376.93
9/30/2014,376.09
10/1/2014,387.43
10/2/2014,383.99
10/3/2014,375.18
10/4/2014,359.89
10/5/2014,328.92
10/6/2014,320.39
10/7/2014,330.58
10/8/2014,336.12
10/9/2014,352.75
10/10/2014,364.69
10/11/2014,361.36
10/12/2014,362.61
10/13/2014,377.92
10/14/2014,391.69
10/15/2014,400.95
10/16/2014,394.52
10/17/2014,382.76
10/18/2014,383.98
10/19/2014,391.25
10/20/2014,389.23
10/21/2014,382.42
10/22/2014,386.12
10/23/2014,382.96
10/24/2014,358.59
10/25/2014,358.61
10/26/2014,347.49
10/27/2014,354.78
10/28/2014,353.21
10/29/2014,357.09
10/30/2014,335.71
10/31/2014,345.01
11/1/2014,338.65
11/2/2014,326.07
11/3/2014,325.57
11/4/2014,327.16
11/5/2014,330.68
11/6/2014,339.46
11/7/2014,349.82
11/8/2014,342.15
11/9/2014,345.38
11/10/2014,362.26
11/11/2014,365.86
11/12/2014,367.99
11/13/2014,427.27
11/14/2014,418.42
11/15/2014,399.65
11/16/2014,374.73
11/17/2014,388.35
11/18/2014,387.79
11/19/2014,373.9
11/20/2014,380.31
11/21/2014,357.88
11/22/2014,351.6
11/23/2014,353.18
11/24/2014,366.95
11/25/2014,376.89
11/26/2014,376.02
11/27/2014,370.5
11/28/2014,369.37
11/29/2014,376.15
11/30/2014,375.51
12/1/2014,378.25
12/2/2014,379.25
12/3/2014,381.72
12/4/2014,375.72
12/5/2014,369.44
12/6/2014,376.76
12/7/2014,374.84
12/8/2014,374.96
12/9/2014,361.89
12/10/2014,352.2
12/11/2014,344.34
12/12/2014,350.83
12/13/2014,352.38
12/14/2014,346.73
12/15/2014,351.36
12/16/2014,345.67
12/17/2014,326.86
12/18/2014,319.79
12/19/2014,311.18
12/20/2014,317.62
12/21/2014,329.54
12/22/2014,321.07
12/23/2014,332.02
12/24/2014,334.38
12/25/2014,322.29
12/26/2014,319.15
12/27/2014,327.58
12/28/2014,316.16
12/29/2014,317.7
12/30/2014,312.72
12/31/2014,310.91
1/1/2015,320.44
1/2/2015,314.08
1/3/2015,314.85
1/4/2015,281.15
1/5/2015,265.08
1/6/2015,274.61
1/7/2015,286.08
1/8/2015,294.13
1/9/2015,282.38
1/10/2015,287.3
1/11/2015,274.61
1/12/2015,266.15
1/13/2015,267.39
1/14/2015,223.89
1/15/2015,176.9
1/16/2015,209.07
1/17/2015,207.83
1/18/2015,200.05
1/19/2015,211.47
1/20/2015,212.91
1/21/2015,211.38
1/22/2015,227.32
1/23/2015,233.52
1/24/2015,232.7
1/25/2015,247.35
1/26/2015,254.08
1/27/2015,273.17
1/28/2015,263.35
1/29/2015,233.35
1/30/2015,232.77
1/31/2015,226.44
2/1/2015,216.87
2/2/2015,226.49
2/3/2015,237.45
2/4/2015,227.51
2/5/2015,227.66
2/6/2015,216.92
2/7/2015,222.63
2/8/2015,227.69
2/9/2015,223.39
2/10/2015,220.28
2/11/2015,219.73
2/12/2015,219.21
2/13/2015,221.97
2/14/2015,235.53
2/15/2015,257.51
2/16/2015,234.82
2/17/2015,233.42
2/18/2015,243.78
2/19/2015,236.41
2/20/2015,240.25
2/21/2015,243.75
2/22/2015,244.54
2/23/2015,236
2/24/2015,239
2/25/2015,238.89
2/26/2015,237.34
2/27/2015,236.44
2/28/2015,253.52
3/1/2015,254.28
3/2/2015,260.36
3/3/2015,275.05
3/4/2015,281.99
3/5/2015,272.74
3/6/2015,275.6
3/7/2015,272.29
3/8/2015,276.43
3/9/2015,274.81
3/10/2015,289.86
3/11/2015,291.52
3/12/2015,296.13
3/13/2015,294.12
3/14/2015,284.44
3/15/2015,281.43
3/16/2015,285.69
3/17/2015,290.6
3/18/2015,285.07
3/19/2015,255.88
3/20/2015,260.96
3/21/2015,261.64
3/22/2015,259.92
3/23/2015,267.89
3/24/2015,266.58
3/25/2015,247.47
3/26/2015,246.28
3/27/2015,248.57
3/28/2015,246.97
3/29/2015,252.74
3/30/2015,242.88
3/31/2015,247.45
4/1/2015,244.22
4/2/2015,247.09
4/3/2015,253.07
4/4/2015,254.29
4/5/2015,253.76
4/6/2015,260.72
4/7/2015,255.27
4/8/2015,253.06
4/9/2015,244.75
4/10/2015,243.69
4/11/2015,236.02
4/12/2015,236.53
4/13/2015,235.95
4/14/2015,224.76
4/15/2015,219.07
4/16/2015,223.92
4/17/2015,228.57
4/18/2015,222.85
4/19/2015,223.46
4/20/2015,222.61
4/21/2015,224.62
4/22/2015,235.6
4/23/2015,234.05
4/24/2015,235.97
4/25/2015,231.24
4/26/2015,226.41
4/27/2015,219.43
4/28/2015,228.97
4/29/2015,225.59
4/30/2015,225.69
5/1/2015,235.94
5/2/2015,232.34
5/3/2015,234.88
5/4/2015,240.36
5/5/2015,238.85
5/6/2015,236.25
5/7/2015,229.66
5/8/2015,237.2
5/9/2015,243.77
5/10/2015,241.73
5/11/2015,240.3
5/12/2015,242.15
5/13/2015,241.4
5/14/2015,236.21
5/15/2015,236.96
5/16/2015,237.64
5/17/2015,236.01
5/18/2015,236.89
5/19/2015,233.04
5/20/2015,231.89
5/21/2015,234.02
5/22/2015,235.32
5/23/2015,240.29
5/24/2015,238.98
5/25/2015,240.93
5/26/2015,237.1
5/27/2015,237.06
5/28/2015,237.26
5/29/2015,237.38
5/30/2015,237.09
5/31/2015,233.13
6/1/2015,230.23
6/2/2015,222.89
6/3/2015,225.74
6/4/2015,225.77
6/5/2015,224.15
6/6/2015,225
6/7/2015,225.6
6/8/2015,222.88
6/9/2015,228.54
6/10/2015,229
6/11/2015,228.85
6/12/2015,229.71
6/13/2015,229.92
6/14/2015,232.44
6/15/2015,233.42
6/16/2015,236.76
6/17/2015,250.82
6/18/2015,249.43
6/19/2015,249.04
6/20/2015,244.53
6/21/2015,245.1
6/22/2015,243.97
6/23/2015,246.93
6/24/2015,244.28
6/25/2015,240.37
6/26/2015,242.6
6/27/2015,243.55
6/28/2015,250.96
6/29/2015,248.72
6/30/2015,257.04
7/1/2015,263.35
7/2/2015,258.55
7/3/2015,255.46
7/4/2015,256.49
7/5/2015,260.81
7/6/2015,271.11
7/7/2015,269.96
7/8/2015,265.98
7/9/2015,270.83
7/10/2015,269.16
7/11/2015,284.88
7/12/2015,293.14
7/13/2015,310.83
7/14/2015,292.03
7/15/2015,288.05
7/16/2015,286.04
7/17/2015,278.09
7/18/2015,279.33
7/19/2015,274.77
7/20/2015,273.5
7/21/2015,278.88
7/22/2015,275.66
7/23/2015,277.34
7/24/2015,276
7/25/2015,288.16
7/26/2015,288.64
7/27/2015,292.64
7/28/2015,293.63
7/29/2015,294.48
7/30/2015,289.1
7/31/2015,287.7
8/1/2015,284.69
8/2/2015,280.45
8/3/2015,282.81
8/4/2015,281.23
8/5/2015,284.85
8/6/2015,281.91
8/7/2015,278.74
8/8/2015,279.74
8/9/2015,261.12
8/10/2015,265.48
8/11/2015,264.34
8/12/2015,270.6
8/13/2015,266.18
8/14/2015,264.13
8/15/2015,265.53
8/16/2015,261.87
8/17/2015,258.49
8/18/2015,257.93
8/19/2015,225.67
8/20/2015,226.9
8/21/2015,235.35
8/22/2015,232.66
8/23/2015,230.38
8/24/2015,228.11
8/25/2015,210.07
8/26/2015,222.08
8/27/2015,226.05
8/28/2015,224.7
8/29/2015,231.55
8/30/2015,229.9
8/31/2015,229.11
9/1/2015,230.26
9/2/2015,228.03
9/3/2015,229.32
9/4/2015,227.22
9/5/2015,230.2
9/6/2015,234.87
9/7/2015,239.93
9/8/2015,239.85
9/9/2015,243.41
9/10/2015,238.34
9/11/2015,238.33
9/12/2015,239.85
9/13/2015,235.24
9/14/2015,230.61
9/15/2015,230.49
9/16/2015,230.25
9/17/2015,229.08
9/18/2015,233.52
9/19/2015,232.86
9/20/2015,231.4
9/21/2015,231.22
9/22/2015,226.97
9/23/2015,230.94
9/24/2015,230.36
9/25/2015,234.36
9/26/2015,235.08
9/27/2015,234.14
9/28/2015,232.84
9/29/2015,239.02
9/30/2015,236.64
10/1/2015,236
10/2/2015,237.26
10/3/2015,237.2
10/4/2015,238.53
10/5/2015,238.15
10/6/2015,240.36
10/7/2015,246.17
10/8/2015,243.07
10/9/2015,242.5
10/10/2015,243.74
10/11/2015,244.74
10/12/2015,246.88
10/13/2015,245.2
10/14/2015,249.49
10/15/2015,252.11
10/16/2015,254.3
10/17/2015,262.75
10/18/2015,270.91
10/19/2015,261.86
10/20/2015,263.57
10/21/2015,269.31
10/22/2015,266.5
10/23/2015,273.65
10/24/2015,276.5
10/25/2015,281.44
10/26/2015,283.63
10/27/2015,285.18
10/28/2015,293.7
10/29/2015,304.32
10/30/2015,313.94
10/31/2015,328.51
11/1/2015,315
11/2/2015,325.94
11/3/2015,361.87
11/4/2015,403.66
11/5/2015,408.08
11/6/2015,388.05
11/7/2015,374.27
11/8/2015,384.28
11/9/2015,374.32
11/10/2015,379.98
11/11/2015,339.82
11/12/2015,314.08
11/13/2015,338.5
11/14/2015,336.62
11/15/2015,333.05
11/16/2015,319.74
11/17/2015,330.36
11/18/2015,334.59
11/19/2015,334.68
11/20/2015,326.41
11/21/2015,322.09
11/22/2015,326.98
11/23/2015,324.35
11/24/2015,323.01
11/25/2015,320.05
11/26/2015,328.3
11/27/2015,351.86
11/28/2015,357.14
11/29/2015,357.47
11/30/2015,371.44
12/1/2015,377.41
12/2/2015,361.85
12/3/2015,359.33
12/4/2015,361.26
12/5/2015,363.72
12/6/2015,389.56
12/7/2015,389.98
12/8/2015,395.75
12/9/2015,414.44
12/10/2015,417.99
12/11/2015,415.28
12/12/2015,452.33
12/13/2015,431.66
12/14/2015,433.27
