State,Unemployment,College,Poverty,nat-college,nat-unemp,nat-pov,College_Diff,Poverty_Diff,diffdiff,college_poverty_diff
AL,10.5,23.1,18.9,29.1,8.9,15.3,-6,3.6,9.6,4.2
AK,7.9,27.7,11,29.1,8.9,15.3,-1.4,-4.3,2.9,16.7
AZ,10.4,27.1,17.6,29.1,8.9,15.3,-2,2.3,4.3,9.5
AR,8.2,20.6,18.7,29.1,8.9,15.3,-8.5,3.4,11.9,1.9
CA,12.2,31,15.8,29.1,8.9,15.3,1.9,0.5,1.4,15.2
CO,8.7,37.5,13.2,29.1,8.9,15.3,8.4,-2.1,10.5,24.3
CT,9.1,37,10.1,29.1,8.9,15.3,7.9,-5.2,13.1,26.9
DE,8.4,29.4,11.9,29.1,8.9,15.3,0.3,-3.4,3.7,17.5
DC,9.4,53.4,18.8,29.1,8.9,15.3,24.3,3.5,20.8,34.6
FL,11.1,26.8,16.5,29.1,8.9,15.3,-2.3,1.2,3.5,10.3
GA,10.5,28.3,18,29.1,8.9,15.3,-0.8,2.7,3.5,10.3
HI,6.9,30.5,11.1,29.1,8.9,15.3,1.4,-4.2,5.6,19.4
ID,9,25.4,15.8,29.1,8.9,15.3,-3.7,0.5,4.2,9.6
IL,10.4,31.9,13.8,29.1,8.9,15.3,2.8,-1.5,4.3,18.1
IN,10.4,23.6,15.3,29.1,8.9,15.3,-5.5,0,5.5,8.3
IA,6,26.4,12.5,29.1,8.9,15.3,-2.7,-2.8,0.1,13.9
KS,7.1,30.7,13.5,29.1,8.9,15.3,1.6,-1.8,3.4,17.2
KY,10.2,21.8,18.9,29.1,8.9,15.3,-7.3,3.6,10.9,2.9
LA,8,22.1,18.8,29.1,8.9,15.3,-7,3.5,10.5,3.3
ME,8.1,28.4,13.1,29.1,8.9,15.3,-0.7,-2.2,1.5,15.3
MD,7.7,37.3,9.9,29.1,8.9,15.3,8.2,-5.4,13.6,27.4
MA,8.3,40,11.4,29.1,8.9,15.3,10.9,-3.9,14.8,28.6
MI,12.6,26.4,16.7,29.1,8.9,15.3,-2.7,1.4,4.1,9.7
MN,7.4,33.2,11.5,29.1,8.9,15.3,4.1,-3.8,7.9,21.7
MS,10.4,20.4,22.4,29.1,8.9,15.3,-8.7,7.1,15.8,-2
MO,9.6,26.7,15.3,29.1,8.9,15.3,-2.4,0,2.4,11.4
MT,7.3,29.1,15.2,29.1,8.9,15.3,0,-0.1,0.1,13.9
NE,4.6,29,12.6,29.1,8.9,15.3,-0.1,-2.7,2.6,16.4
NV,13.5,22.5,14.8,29.1,8.9,15.3,-6.6,-0.5,6.1,7.7
NH,5.8,34.4,8.6,29.1,8.9,15.3,5.3,-6.7,12,25.8
NJ,9.5,36.4,10.2,29.1,8.9,15.3,7.3,-5.1,12.4,26.2
NM,8.1,26.1,19.8,29.1,8.9,15.3,-3,4.5,7.5,6.3
NY,8.6,33.7,15,29.1,8.9,15.3,4.6,-0.3,4.9,18.7
NC,10.9,27.8,17.4,29.1,8.9,15.3,-1.3,2.1,3.4,10.4
ND,3.8,27.3,12.5,29.1,8.9,15.3,-1.8,-2.8,1,14.8
OH,10.3,25.6,15.8,29.1,8.9,15.3,-3.5,0.5,4,9.8
OK,6.8,23.8,16.8,29.1,8.9,15.3,-5.3,1.5,6.8,7
OR,10.6,30.1,15.8,29.1,8.9,15.3,1,0.5,0.5,14.3
PA,8.5,28.1,13.4,29.1,8.9,15.3,-1,-1.9,0.9,14.7
RI,11.2,31.4,14.1,29.1,8.9,15.3,2.3,-1.2,3.5,17.3
SC,11.2,25.3,18.1,29.1,8.9,15.3,-3.8,2.8,6.6,7.2
SD,5,26.7,14.6,29.1,8.9,15.3,-2.4,-0.7,1.7,12.1
TN,9.7,24.4,17.8,29.1,8.9,15.3,-4.7,2.5,7.2,6.6
TX,8.1,27.1,17.9,29.1,8.9,15.3,-2,2.6,4.6,9.2
UT,7.8,30.6,13.3,29.1,8.9,15.3,1.5,-2,3.5,17.3
VT,6.1,35.2,12.4,29.1,8.9,15.3,6.1,-2.9,9,22.8
VA,7.1,35.8,11.1,29.1,8.9,15.3,6.7,-4.2,10.9,24.7
WA,10,32.3,13.5,29.1,8.9,15.3,3.2,-1.8,5,18.8
WV,8.7,18.7,18.2,29.1,8.9,15.3,-10.4,2.9,13.3,0.5
WI,8.7,27.4,13.2,29.1,8.9,15.3,-1.7,-2.1,0.4,14.2
WY,6.4,25.1,11.4,29.1,8.9,15.3,-4,-3.9,0.1,13.7